"x","label","type","author","title","journal","year","volume","url","abstract","publisher","language","keywords","issn","doi","issue","address","edition","editor","pages","citation","screened_titles","notes","screened_abstracts"
1505,"Pusalkar_2004_NoJoofBo","ARTICLE","Pusalkar, P.K. and Singh, D.K.","Ranunculus uttaranchalensis (Ranunculaceae): A new species from Western Himalaya, India","Nordic Journal of Botany",2004,"24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847077546&doi=10.1111%2fj.1756-1051.2004.tb02202.x&partnerID=40&md5=a7fc4be9fe1e02e22324bd8a050ed0c0","A new species of the genus Ranunculus, R. uttaranchalensis, is described from Gangotri National Park, Uttaranchal in Western Himalaya, India. It is distinguished from the closely allied R. lobatus in having radical leaves sub-cordate with hairy lamina base and petiole hairy above; cauline leaves sessile, 3-7 lobed with linear to narrowly lanceolate lobes; sepals usually reddish brown, externally hairy; petals rounded-obovate and oblong, receptacle glabrous except 1-3 hairs at the top.","Council for Nordic Publications in Botany","English","dicotyledon;  geographical distribution;  leaf morphology;  new species;  taxonomy, Asia;  Eurasia;  Gangotri National Park;  Himalayas;  India;  South Asia;  Uttaranchal, Ranunculaceae;  Ranunculus","0107055X","10.1111/j.1756-1051.2004.tb02202.x","4",NA,NA,NA,"403-405","Ranunculus Uttaranchalensis (Ranunculaceae): a New Species from Western Himalaya, India.","unknown",NA,"excluded"
1514,"Wilmot.Dear_2004_NoJoofBo","ARTICLE","Wilmot-Dear, C.M. and Friis, I.","The old world species of Pouzolzia (Urticaceae, tribus Boehmerieae). A taxonomic revision","Nordic Journal of Botany",2004,"24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746470296&doi=10.1111%2fj.1756-1051.2004.tb00825.x&partnerID=40&md5=26b10acb4fecaf5d4c453b95f47b479e","The Old World species of the genus Pouzolzia have been revised and 24 species and 13 infraspecific taxa recognised. Worldwide, the genus now totals 36 species and 17 infraspecific taxa. Pouzolzia sect. Memorialis Bennett & Brown (including the genera Gonostegia Turcz. and Hyrtanandra Miq.) is maintained here as a section of Pouzolzia. The characters used to separate Pouzolzia from Boehmeria are found to work worldwide. In the Old World, the genus ranges, west to east, from Senegal to Japan and the Solomon Islands, and, north to south, from China, the Himalayas and Yemen to South Africa, Madagascar, Australia and the Lord Howe, Norfolk and Kermadec Is. Some species are common and occur almost throughout tropical Indomalesia or are widespread in Africa; others are rare and with a narrow range, for example restricted to one or a few oceanic islands. Each of the taxa occurring in the Old World is described and illustrated, habitats and geographical ranges are indicated, conservation status is discussed on the basis of our impression of old and new collecting activity, and distributions are mapped. The following new taxa are described: P. tsaratananensis Friis & Wilmot Dear from Madagascar, P. herpetophyton Friis & Wilmot-Dear from the Comoro Is., and P. zeylanica subsp. calcicola Friis & Wilmot-Dear and P. thailandica Friis & Wilmot-Dear, both from southern Thailand. A new name, P. variifolia Friis & Wilmot-Dear, is proposed for P. heterophylla (Blume) Wedd., nom. illeg. The following new combinations are published here: P. australis (Endl.) Friis & Wilmot-Dear, P. sanguinea (Blume) Merr. var. formosana (Li) Friis & Wilmot-Dear, P. sanguinea (Blume) Merrill var. cinerascens (Blume) Friis & Wilmot-Dear, P. mixta Solms var. shirensis (Rendle) Friis & Wilmot-Dear, P. hirta (Blume) Hasskarl var. parvifolia (Wight) Friis & Wilmot-Dear, P. pentandra (Roxb.) Benn. & R. Br. subsp. wightii (Benn. & R. Br.) Friis & Wilmot-Dear. and subsp. wightii (Benn. & R. Br.) Friis & Wilmot-Dear var. gracilis (Miq.) Friis & Wilmot-Dear. The following taxa are reduced to synonymy for the first time: Pouzolzia argenteonitida W.-T. Wang, P. bracteosa Friis, P. calophylla W.-T. Wang & C.-J. Chen, P. guineensis Benth. var. seyrigii Leandri, P. guineensis Benth. var. madagascariensis Wedd., P. baronii Leandri, and P. auriculata Wight.","Council for Nordic Publications in Botany","English","geographical distribution;  geographical region;  habitat quality;  intraspecific variation;  taxonomy;  weed, Africa;  Asia;  Australasia;  Australia;  China;  Eurasia;  Far East;  Himalayas;  Indian Ocean;  Indian Ocean islands;  Japan;  Kermadec Islands;  Lord Howe Island;  Madagascar;  Melanesia;  Middle East;  New Zealand;  Norfolk Island;  Pacific islands;  Pacific Ocean;  Senegal;  Solomon Islands [(ISG) Melanesia];  Solomon Islands [Solomon Islands (ISG)];  South Africa;  Southern Africa;  Sub-Saharan Africa;  West Africa;  Yemen, Boehmeria;  Boehmeria nivea;  Pouzolzia;  Pouzolzia pentandra;  Pouzolzia zeylanica;  Urticaceae","0107055X","10.1111/j.1756-1051.2004.tb00825.x","1",NA,NA,NA,"111-5","The Old World Species of Pouzolzia (Urticaceae, Tribus Boehmerieae). a Taxonomic Revision.","unknown",NA,"excluded"
1519,"Bhattarai_2004_FoliGeob","ARTICLE","Bhattarai, K.R. and Vetaas, O.R. and Grytnes, J.A.","Relationship between plant species richness and biomass in an arid sub-alpine grassland of the central Himalayas, Nepal","Folia Geobotanica",2004,"39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-16544378251&doi=10.1007%2fBF02803264&partnerID=40&md5=41498dbe653f778f5438a09dc8c24c84","The hump-shaped relationship between plant species richness and biomass is commonly observed at fine scale for herbaceous vegetation in temperate climates. This relationship predicts that herbaceous species richness is highest at an intermediate level of biomass that corresponds to moderate competition or disturbance. However, this relationship has not previously been investigated in high arid sub-alpine mountain grasslands. We tested the humped-back prediction in the arid Trans-Himalayan mountain grassland with a seasonal grazing system. The study area is located in the bottom of a U-shaped valley, in the Manang district (3500 m a.s.l.). We sampled two hundred plots (1m 1m) in two different types of pastures: common pasture and old field, which both have similar grazing practices. There was a significant unimodal relationship between species richness and biomass only in the common pasture, and when the two sites were analyzed together. The species turnover is estimated by DCA in standard deviation unit. The turnover was lower in the old field than in the common pasture. The unimodal relationship between plant species richness and biomass did not disappear after accounting for unknown environmental gradients expressed as DCA (detrended correspondence analysis) axes and spatial variables. The species richness is highest at 120 40 g/m2. The results indicate that a hump-shaped relationship is also found in arid Trans-Himalayan grasslands.","Academy of Sciences of the Czech Republic","English","biomass;  grassland;  grazing;  species richness;  subalpine environment, Asia;  Eurasia;  Gandaki;  Himalayas;  Manang;  Nepal;  South Asia","12119520","10.1007/BF02803264","1",NA,NA,NA,"57-71","Relationship Between Plant Species Richness and Biomass in an Arid Sub-Alpine Grassland of the Central Himalayas, Nepal.","unknown",NA,"excluded"
1529,"Patnaik_2003_PalaPalaPala","ARTICLE","Patnaik, R.","Reconstruction of Upper Siwalik palaeoecology and palaeoclimatology using microfossil palaeocommunities","Palaeogeography, Palaeoclimatology, Palaeoecology",2003,"197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0043206146&doi=10.1016%2fS0031-0182%2803%2900390-0&partnerID=40&md5=db969338f1a451465242352a23953e71","Upper Siwalik sediments, exposed in the vicinity of Chandigarh, have yielded microvertebrates in addition to large vertebrates, invertebrates (molluscs, ostracods and decapods), charophytes, pollen and spores. These assemblages derive from at least four horizons of the Tatrot and Pinjor Formations (spanning the period between 4 and 1.8 Ma). Among the microvertebrates, a diverse assemblage of micromammals, including rodents, insectivores and lagomorphs, has been recovered from these deposits. These accumulations have been found to be primarily of scatological origin. The most common microfossil communities belonged to pond, pond bank, wooded grassland, sandy plain, bushland and temperate montane habitats. Presence of gerbil rodents such as Tatera associated with lizards (e.g. Uromastyx, Calotes and scincid) in some deposits might indicate semi-arid conditions or intermittent dry periods. The replacement of survival-oriented cricetids by reproduction-oriented murid rodents in the Late Miocene is indicative of inter-annual seasonal variations (intensification of monsoons). Across the Mio-Pliocene boundary a change in the dietary habits among the murid rodents has also been observed. The Mid-Miocene non-grazers such as Antemus and Progonomys gave way to Late Miocene (Parapelomys and Karnimata) and Pliocene forms (Dilatomys, Bandicota, Nesokia, Hadromys, and Golunda), which were predominantly grazers. An increase in body size among the Pliocene murid rodents has been inferred from the size of their first upper molars. Within the Pliocene, across the Tatrot-Pinjor boundary (around 2.5 Ma), among the rodents a significant change at the generic level, leading to the appearance of modern forms such as Hadromys, Bandicota, Nesokia, Rhizomys, and Tatera, has been observed. This period (2.5 Ma) is marked also by a great diversification of murid species, probably indicating an intensification of monsoons. This interpretation is further strengthened by the occurrence of a diverse palynological assemblage reflecting alternately wet and dry conditions. 2003 Elsevier Science B.V. All rights reserved.","Elsevier B.V.","English","Cenozoic;  microfossil;  Miocene;  paleoclimate;  paleoecology;  Pliocene;  reconstruction, Chandigarh;  India;  Punjab, Antemus;  Antemus;  Bandicota;  Bandicota;  Calotes;  Calotes;  Characeae;  Cricetinae;  Dilatomys;  Dilatomys;  Gerbillinae;  Golunda;  Golunda;  Hadromys;  Hadromys;  Invertebrata;  Karnimata;  Karnimata;  Lagomorpha;  Mollusca;  Nesokia;  Nesokia;  Ostracoda;  Parapelomys;  Parapelomys;  Progonomys;  Progonomys;  Rhizomys;  Rhizomys;  Rodentia;  Scincidae;  Squamata;  Tatera;  Tatera;  Uromastyx;  Uromastyx;  Vertebrata","00310182","10.1016/S0031-0182(03)00390-0","1-2",NA,NA,NA,"133-150","Reconstruction of Upper Siwalik Palaeoecology and Palaeoclimatology using Microfossil Palaeocommunities.","unknown",NA,"excluded"
1538,"Lodhiyal_2003_ForEcoandMan","ARTICLE","Lodhiyal, N. and Lodhiyal, L.S.","Biomass and net primary productivity of Bhabar Shisham forests in central Himalaya, India","Forest Ecology and Management",2003,"176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037451693&doi=10.1016%2fS0378-1127%2802%2900267-0&partnerID=40&md5=052a4024ccde0ca58509a04369858d69","This paper illustrates biomass (dry weight per unit area) and net primary productivity (NPP) in 5-, 10- and 15 years old Shisham (Dalbergia sissoo Roxb.) forests planted after clear cutting of Sal (Shorea robusta) mixed broad-leaved tree species in Bhabar (a nutrient poor and low water table site) adjacent to foothills in Kumaun of central Himalaya. The linear regression equations for all the aboveground and belowground components of trees and shrubs were developed for each forest. The forest floor biomass, litter input and understorey vegetation were also determined from each forest. The tree density was 625 trees ha-1 for each forest. The basal area, biomass, forest floor litter mass, tree litter fall and NPP of trees increased with increase in forest age, whereas the herb biomass and NPP significantly (P &lt; 0.01) decreased with increasing forest age. The total vegetation biomass and NPP ranged from 52.5 (5 years) to 118.1 t ha-1 (15 years) and 11.4 (5 years) to 14.8 t ha-1 per year (15 years old), respectively. The biomass accumulation ratio (BAR) for different tree components increased with increase in forest age. The BAR ratio ranged from 5.2 in the 5 years old to 8.9 in 15 years old forest. 2002 Elsevier Science B.V. All rights reserved.",NA,"English","Biomass;  Regression analysis, Net primary productivity (NPP), Forestry, biomass;  forest;  litterfall;  net primary production;  understory, India, Dalbergia;  Dalbergia sissoo;  Shorea robusta","03781127","10.1016/S0378-1127(02)00267-0","1-3",NA,NA,NA,"217-235","Biomass and Net Primary Productivity of Bhabar Shisham Forests in Central Himalaya, India.","unknown",NA,"selected"
1541,"Phartyal_2003_SeeSciandTec","ARTICLE","Phartyal, S.S. and Thapliyal, R.C. and Nayal, J.S. and Rawat, M.M.S. and Joshi, G.","The influences of temperatures on seed germination rate in Himalayan elm (Ulmus wallichiana)","Seed Science and Technology",2003,"31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041355247&doi=10.15258%2fsst.2003.31.1.09&partnerID=40&md5=514f673f40aa88b24f8e491cfd7da407","The germination response of U. wallichiana seeds from three sources to constant temperature was investigated over the range 14-34C on a thermo-gradient system. Difference between seeds in proportion and rate of germination, cardinal temperatures and thermal time required for germination was observed. The three cardinal temperatures viz., the base (Tb), the optimum (To) and the maximum (Tm) for germination rate varied slightly between seed lots as well as different percentiles of germination in a particular seed lot. The mean cardinal temperatures i.e., Tb, To and Tm were estimated as 11.3, 26.3 and 34.2C for Chakrata, 11.6, 26.5 and 34.7C for Manali and 12.7, 25.3 and 34.1C for Sangla valley seed lots respectively. The seeds from the inner Himalayan range (Sangla valley) had slightly lower To as compared to seeds from the outer Himalayan ranges (Chakrata and Manali). The mean thermal time at sub-optimal temperature for germination was estimated as 74.9, 64.9 and 71.9Cd (degree-days), while at supra-optimal temperatures it was 35.1, 33.8 and 50.1Cd respectively for seeds from Chakrata, Manali and Sangla valley. The thermal time both at sub and supra-optimal temperatures increased linearly as the values of the percentile germination increased in all three seed sources. The seeds germinated at supra-optimal temperatures required less thermal time to germinate than at sub-optimal temperatures.","International Seed Testing Association","English","Ulmus;  Ulmus wallichiana","02510952","10.15258/sst.2003.31.1.09","1",NA,NA,NA,"83-93","The Influences of Temperatures on Seed Germination Rate in Himalayan Elm (Ulmus Wallichiana)","selected",NA,"selected"
1547,"Jalali_2002_InJoofAgSc","ARTICLE","Jalali, V.K. and Sharma, M.P.","Status of available micronutrient cations in soils of mid-hill intermediate zone of Jammu region","Indian Journal of Agricultural Sciences",2002,"72","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038189925&partnerID=40&md5=34c4c537f50c4af8b75b86e32db0b6f1","The status of available micronutrients cations in soils of mid-hill intermediate zone of Jammu region indicated that about 24 and 44% soils were deficient in available Zn and Fe respectively. Soils with low organic carbon and high pH were generally low in chelated or complex Zn, Cu, Fe and Mn. The organic carbon, pH and calcium carbonate contents were observed to affect the availability of these micronutrients cations.",NA,"English",NA,"00195022",NA,"10",NA,NA,NA,"616-618","Status of Available Micronutrient Cations in Soils of Mid-Hill Intermediate Zone of Jammu Region.","unknown",NA,"excluded"
1554,"Negi_2002_BiolCons","ARTICLE","Negi, H.R. and Gadgil, M.","Cross-taxon surrogacy of biodiversity in the Indian Garhwal Himalaya","Biological Conservation",2002,"105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036219995&doi=10.1016%2fS0006-3207%2801%2900158-6&partnerID=40&md5=787a5486bb7fa74ed70b7123a8ac29f1","Biodiversity surveys were conducted in 13, 1050 m2 plots located between 1400 to 3700 m above mean sea level in a range of habitats in temperate mixed Oak and Coniferous forests through sub-alpine to the alpine grasslands in Chamoli district of Uttaranchal state in the Indian Garhwal Himalaya. Cross-taxon congruence in biodiversity (-diversity and -diversity) across macrolichens, mosses, liverworts, woody plants (shrubs and trees) and ants was investigated, so as to examine the extent to which these groups of organisms can function as surrogates for each other. Although woody plants provided a major substrate for macrolichens and mosses, there was no species-specific association between them. Woody plant species richness was highly positively correlated with mosses (r2 = 0.63, P &lt; 0.001), but the relationship was not particularly very strong with lichens and liverworts. While there was a significant correlation in the species turnover (-diversity) of macrolichens with mosses (r2 = 0.21, P &lt; 0.005), the relationship was relatively poor with the woody plants. On the other hand, negative correlations emerged in the species richness of ants with those of macrolichens, mosses and woody plants (r2 = -0.44, P &lt; 0.05), but most of the complementarity (turnover) relationships among them were positive. Since diversity between taxonomic hierarchies within the group was consistently significantly positively correlated in all these taxa, the higher taxonomic categories such as genus and family may be employed as surrogates for rapid assessment and monitoring of species diversity. Although no single group other than macrolichens has emerged as a good indicator of changes in species richness in all other groups, some concordant relationships between them conform to the hypothesis that species assemblages of certain taxonomic groups could still be used as surrogates for efficient monitoring of species diversity in other groups whose distribution may further predict the importance of conserving overall biodiversity in landscapes such as the Garhwal Himalaya. 2002 Elsevier Science Ltd. All rights reserved.",NA,"English","ant;  biodiversity;  bioindicator;  bryophyte;  lichen;  nature conservation;  species richness;  woody plant, India, Bryophyta;  Formicidae;  Marchantiophyta;  Quercus","00063207","10.1016/S0006-3207(01)00158-6","2",NA,NA,NA,"143-155","Cross-Taxon Surrogacy of Biodiversity in the Indian Garhwal Himalaya.","unknown",NA,"excluded"
1580,"Singh_2001_IndiFore","ARTICLE","Singh, R. and Goraya, G.S. and Singh, C. and Kumar, S. and Kumar, S.","Mortality of Chir pine trees by insect borers in Morni Hills, Haryana - A case study","Indian Forester",2001,"127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-28644440144&partnerID=40&md5=5726063861e6f3fda32ad8bdb459b2f6","Chir pine (Pinus roxburghii Sargent) is a very important indigenous conifer species of lower hills of Himalayas and the Shiwalik mountain range. A request to study the causes of mortality of Chir pine in Morni Forest Range under the Pinjore Forest Division in Haryana was received from the Conservator of Forests and the same have heen investigated. It has been observed that the forest tract has been badly abused in past due to high biotic pressure, recurrent fires and heavy resin tapping by French Cup and Lip method. The resin tapping in the said forest has been stopped since 1983. However, the scars of the past injuries have left a permanent mark on these trees, which have over the years and due to recurrent fires lost their viability and have become prone to heavy insect borers infestation. So the immediate cause of current mortality in this area has been found to be the heavy infestation of insect borers. The study showed that these affected trees were severely attacked by four types of insect borers viz. Shpaenoptera aterrima, Cryptorhynchus rufescens, Platypus biformis and Polygrphus longifolia, which badly damaged the bark and bast and girdled the tree. Various insect pest management strategies including the insecticidal application were recommended for protecting the trees from the insect borers and their by protect them from mortality.",NA,"English",NA,"00194816",NA,"11",NA,NA,NA,"1279-1286","Mortality of Chir Pine Trees by Insect Borers in Morni Hills, Haryana - a Case Study.","selected",NA,"selected"
1584,"Baduni_2001_IndiFore","ARTICLE","Baduni, N.P. and Sharma, C.M.","Population structure and community analysis on different aspects of Sal Savanna forest type in outer Garhwal Himalaya","Indian Forester",2001,"127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27144510193&partnerID=40&md5=bcff36d9cdb92af0de79802ca5b998b0","The population structure and community analysis of the Sal-Savanna forest of the Kalagarh Forest Division in the outer Himalaya were studied on four different aspect viz., North-East, North-West, South-East and South-West. The maximum density (500 trees/ha) and maximum total basal cover (32.98 m2/ha) were observed on the SW and NE aspects respectively. The tree diversity range in these forests varied from 0.5029 (on NE aspect) to 1.366 (on SE aspect). The maximum dispersion of tree individuals were seen on SE aspect which has indicated a more stable community comparatively. Due to more biotic and abiotic interference's, the population structure on other aspects has shown a degrading sustainability. The occurrence of grasses growth with Sal under these disturbed climatic condition and heavy biotic interference have represented this stage of retrogression in otherwise climax Sal type and are responsible for the formation of Sal-Savanna forest type.",NA,"English",NA,"00194816",NA,"9",NA,NA,NA,"1001-1011","Population Structure and Community Analysis on Different Aspects of Sal Savanna Forest Type in Outer Garhwal Himalaya.","unknown",NA,"excluded"
1600,"Hoorn_2000_PalaPalaPala","ARTICLE","Hoorn, C. and Ohja, T. and Quade, J.","Palynological evidence for vegetation development and climatic change in the Sub-Himalayan Zone (Neogene, Central Nepal)","Palaeogeography, Palaeoclimatology, Palaeoecology",2000,"163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034669072&doi=10.1016%2fS0031-0182%2800%2900149-8&partnerID=40&md5=b302d897a3faafe3418e672a37459cec","A palynological study on Miocene-Pleistocene sediments exposed at Surai Khola in central Nepal yields new information on vegetation and climate change over the last ~11.5 Ma. Our results show that during the late Middle Miocene to early Late Miocene (~11.5- ~8 Ma, Lower Siwalik) the Himalayan foothills and the Gangetic floodplain of Nepal were mainly forested with subtropical to temperate broad-leafed (b.l.) taxa (e.g. Quercus, Lithocarpus/Castanopsis, Alnus), and tropical forest taxa respectively. Grasses were present at the time but were not abundant. Between the early to late Late Miocene (~8-~6.5 Ma; lower Middle Siwalik) grassland replaced subtropical and temperate b.l. forest. This change may be related to disturbance of the vegetation on the slopes due to uplift, perhaps enhanced by intensification of the monsoon. Between late Late Miocene to Pliocene/Early Pleistocene? (~6.5&lt; 2 Ma; Middle-Upper Siwalik) the grassland vegetation became well established and the influence of the subtropical climax vegetation is minor, with some occasional revivals. An increase in peak discharge in the fluvial system (also related to monsoonal intensification?) is recognized by an increase of the aquatic taxon Potamogeton and better preservation of all specimens. Enhanced seasonal flooding in the system during the Pliocene (~5.5-~3.5 Ma; top Middle Siwalik) may have produced local lacustrine conditions on the overbanks, evidenced by an abundance of algae (Spirogyra) and pteridophytes in the pollen assemblages. Evidence of climatic cooling between ~6.5-~5 Ma ago is indicated by the onset of steppe taxa, decrease of tropical forest taxa and disappearance of certain Dipterocarpaceae. Pollen assemblages from the Surai Khola section suggest complex vegetation changes, of which the shift to C4 grass dominance was only one. Global climatic cooling, the intensification of the monsoon, and the Late Miocene uplift may all have contributed to the phytogeography in the Sub-Himalayan Zone. (C) 2000 Elsevier Science B.V.",NA,"English","Neogene;  paleoclimate;  palynology;  vegetation history, Nepal","00310182","10.1016/S0031-0182(00)00149-8","3-4",NA,NA,NA,"133-161","Palynological Evidence for Vegetation Development and Climatic Change in the Sub-Himalayan Zone (Neogene, Central Nepal)","unknown",NA,"excluded"
1603,"Pande_2000_IndiFore","ARTICLE","Pande, P.K. and Negi, J.D.S. and Sharma, S.C.","Species diversity, turn-over and resource apportionment among various plant species in a Western-Himalayan forest","Indian Forester",2000,"126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27244432123&partnerID=40&md5=10d3c3e78f2ab7572eed8f9423e7a25a","In this paper, species diversity, species turn-over and resource apportionment among the various species at selected sites of Western-Himalayan forest situated at Sandev, Distt. Pithoragarh (U.P.) are described. The whole are is divided into four sub sites as per their aspect, altitude and vegetation. In general, Quercus leucotrichophora, Pieris ovalifolia, Rhododendron arboreum, Alnus nepalensis and Macaranga denticulata dominate the site except site-III, where Pinus roxburghii forms its community with P. ovalifolia and R. arboreum. The density value range (plant/100m2) was 6.37-12.37 for tree layer; 21-74 for shrubs and 6182-11400 for herb layer. Total basal cover (cm2/100 m2) ranged in between 1986-4612 for tree layer; 17-50 for shrubs and 246-497 for herbaceous layer. Diversity-index is higher for herbs and lowest for trees. Site-IV is more diverse than of the other sites for trees and shrubs while site-II is more diverse than of the other sites as far as herbs are concerned. Site-III and IV are the more similar sites whereas site-I and IV showed least similarity. In general, log and log-normal distribution of species is followed by most of the sites for all the life-forms, which is indicative of higher interspecific competition among the various species at their respective sites.",NA,"English",NA,"00194816",NA,"7",NA,NA,NA,"727-741","Species Diversity, Turn-over and Resource Apportionment among Various Plant Species in a Western-Himalayan Forest.","unknown",NA,"excluded"
1617,"Schickhoff_2000_Phyt","ARTICLE","Schickhoff, U.","The impact of Asian summer monsoon on forest distribution patterns, ecology, and regeneration north of the main Himalayan range (E-Hindukush, Karakorum)","Phytocoenologia",2000,"30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034518032&doi=10.1127%2fphyto%2f30%2f2000%2f633&partnerID=40&md5=d13e537b02a492edb908fb4f326970f7","The range and precipitation effectiveness of the Indian summer monsoon in the NW of the subcontinent is subject to contentious discussions for several decades. This topic was mostly treated from a climatological point of view. Only recently, integrated approaches are pursued using the indicator functions of the vegetation for monsoonal humidity influx in more detail. In this paper, new climatological findings are correlated with recent vegetation ecological and phytogeographical studies in order to assess the dependence of closed sub-humid forests on monsoonal precipitation north of the main Himalayan range. General climatic conditions in the region are characterized by a SW-NE-directed gradient of decreasing humidity. They result from the position in a transitional area of two genetically different precipitation regimes: Extratropical westerly circulation and tropical monsoon regime. This paper analyzes the relationships of monsoonal humidity influx and distribution patterns, synecology, synsociology, and regeneration of major forest communities (Pinus wallichiana-, Picea smithiana-communities) towards the dry limits of forests in the region. Small-scale distribution patterns of forest stands correspond to the spatial differentiation of water vapour transport from shallow monsoonal depressions over the crestlines of West Himalaya and Karakorum. This transport is modified by the topography of high mountain chains, acting as barriers against moist labile air masses from the south. The gradual decrease of humidity along the SW-NE-gradient is reflected by synsociological characteristics of communities, i.e. by their differentiations into mesic and xeric subassociations. The forests appear to be relict ecosystems of moister periods of the Holocene. Under presently drier conditions in an extreme subtropical arid high mountain environment, the maintenance of an equable forest climate is indispensable for successful regeneration. Thus, further forest degradation will lead to an irreversible loss of forest habitats.","Gebruder Borntraeger Verlagsbuchhandlung","English","climate;  forest ecosystem;  monsoon;  plant community;  regeneration;  spatial distribution, Himalayas;  Karakorum;  Pakistan, Picea smithiana;  Pinus wallichiana","0340269X","10.1127/phyto/30/2000/633","3-4",NA,NA,NA,"633-654","The Impact of Asian Summer Monsoon on Forest Distribution Patterns, Ecology, and Regeneration North of the Main Himalayan Range (e-Hindukush, Karakorum)","unknown",NA,"excluded"
1620,"Rawat_1999_TropEcol","ARTICLE","Rawat, G.S. and Bhainsora, N.S.","Woody vegetation of Shivaliks and outer Himalaya in north western India","Tropical Ecology",1999,"40","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033490537&partnerID=40&md5=0d62a09c4dad654be57ce1963e941119","Structure and composition of forests across the Shivaliks, Doon valley and outer Himalaya in Dehradun District, North Western India were studied using stratified random plots. Richness of woody species, Importance Value Index (IVI) of trees, and regeneration of sal (Shorea robusta Gaertn.), the climax species of the region, have been compared. Based on 'TWINSPAN' analysis 17 groups or tree associations were segregated with Eigen values ranging form 0.216 to 0.729 which largely follow increasing rainfall and moisture gradient. Absence of Anogeissus latifolia in the outer Himalaya marked the difference from the tree associations of other two zones. The richness of woody species was highest in Shivaliks (62) followed by Doon valley (56) and outer Himalaya (54). Of 1001 individuals of sal measured for GBH, the pole size (10-20 cm girth class formed about 4% of the population. Outer Himalaya had significantly higher density of sal saplings (&lt; 10 cm girth class) compared to Shivaliks (paired t = 2.62 p &lt; 0.05) and Doon Valley (t = 2.29 p &lt; 0.05) but the latter two zones were similar in sapling densities. Sal attained highest girth in Doon valley (x = 126.2 12.3 cm) and lowest in the outer Himalaya (x = 56.0 6.4 cm). Within Shivaliks the tree densities (ha-1) varied among valley bottom (260.9 64.1), middle slope (265.7 77.9) and Shivalik ridge (254.6 100.7). However, tree densities in Doon valley (640.0 253.9 ha-1) and outer Himalaya (643.7 257.7 ha-1) were much higher compared to Shivaliks. Areas disturbed due to lopping and cutting, particularly in Doon valley and outer Himalaya were dominated by Lantana camara Linn., an exotic shrub. Though Lantana thickets seem to protect sal seedlings from the frost and other injuries, overall plant species diversity was very low in such areas. Influence of terrain, topography and protection has been discussed along with the conservation implications.",NA,"English","community composition;  community structure;  species diversity;  woody plant, India, Anogeissus latifolia;  Shorea robusta","05643295",NA,"1",NA,NA,NA,"119-128","Woody Vegetation of Shivaliks and Outer Himalaya in North Western India.","selected",NA,"selected"
1623,"Rawat_1999_IndiFore","ARTICLE","Rawat, G.S. and Sathyakumar, S. and Prasad, S.N.","Plant species diversity and community structure in the outer fringes of kedarnath wildlife sanctuary, Western Himalaya: Conservation implications","Indian Forester",1999,"125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041730663&partnerID=40&md5=cd2daa019cc447b03c73bfe82d44172d","Studies on the plant species diversity and community structure were carried in the outer fringes (1550m - 1900m) of Kedarnath Wildlife Sanctuary, Western Himalaya. Five sites were selected along the gradient of human use which represented various stages of Oak-Rhododendron Quercus leucotrichophora - Rhododendron arboreum community. The tree density varied significantly among the sites (ANOVA p<0.001) but there was no significant variation in the shrub density. The diversity of tree and shrub species have been compared separately at various sites using Shannon-Wiener index. The number of woody species was highest in the moderately disturbed site where as lowest in the Oak forest protected and artificially regenerated by the villagers. Moderately disturbed site showed best regeneration of ban Oak. However, maximum tree species diversity, structural (and possibly functional diversity) are exhibited by the old growth forest. Indicators of different serai stages have been identified and conservation implications discussed.",NA,"English",NA,"00194816",NA,"9",NA,NA,NA,"873-882","Plant Species Diversity and Community Structure in the Outer Fringes of Kedarnath Wildlife Sanctuary, Western Himalaya: Conservation Implications.","unknown",NA,"excluded"
